id;game_mode;player_id;ref_date;total_played;kills;assists;deaths;wins;loss;headshots
1;COMPETITIVO;354985;01/02/2020;85083;579;130;614;18;16;202
2;COMPETITIVO;152268;01/02/2020;2567;17;3;20;0;1;2
3;COMPETITIVO;679247;01/02/2020;5864;39;14;44;2;1;18
4;COMPETITIVO;604607;01/02/2020;5416;42;5;44;0;3;17
5;COMPETITIVO;325203;01/02/2020;4850;53;4;32;1;1;18
6;COMPETITIVO;95479;01/02/2020;33590;204;55;243;2;11;60
7;COMPETITIVO;35792;01/02/2020;234664;1648;394;1774;49;37;736
8;COMPETITIVO;679130;01/02/2020;2504;19;2;21;0;1;5
9;COMPETITIVO;1129344;01/02/2020;163147;1168;250;1192;25;37;536
10;COMPETITIVO;850067;01/02/2020;9041;71;21;68;1;2;27
11;COMPETITIVO;321178;01/02/2020;4672;35;9;44;1;1;18
12;COMPETITIVO;79214;01/02/2020;13340;90;27;86;2;3;42
13;COMPETITIVO;364740;01/02/2020;23307;141;28;147;2;6;43
14;COMPETITIVO;723404;01/02/2020;158984;838;250;1071;29;30;280
15;COMPETITIVO;862930;01/02/2020;9467;52;16;44;5;0;15
16;COMPETITIVO;1086226;01/02/2020;23041;227;47;160;6;4;106
17;COMPETITIVO;641988;01/02/2020;17808;109;34;93;4;2;36
18;COMPETITIVO;681743;01/02/2020;121494;960;211;900;29;18;409
19;COMPETITIVO;152301;01/02/2020;48026;373;93;330;10;8;131
20;COMPETITIVO;734021;01/02/2020;164185;1195;232;1153;32;30;491
21;COMPETITIVO;340916;01/02/2020;8800;37;12;65;1;2;8
22;COMPETITIVO;1189027;01/02/2020;15930;112;18;88;3;2;27
23;COMPETITIVO;1240338;01/02/2020;2550;6;2;20;0;1;3
24;COMPETITIVO;322891;01/02/2020;11092;79;18;78;2;2;20
25;COMPETITIVO;900185;01/02/2020;3033;20;7;15;1;0;6
26;COMPETITIVO;1105202;01/02/2020;33054;190;49;186;6;7;54
27;COMPETITIVO;81492;01/02/2020;54329;429;99;433;11;13;221
28;COMPETITIVO;734543;01/02/2020;29634;272;49;262;1;11;117
29;COMPETITIVO;29983;01/02/2020;34402;227;44;253;7;6;90
30;COMPETITIVO;697072;01/02/2020;62387;416;106;445;11;13;183
31;COMPETITIVO;806434;01/02/2020;3335;24;4;23;1;0;5
32;COMPETITIVO;876879;01/02/2020;12917;87;19;88;3;2;38
33;COMPETITIVO;951356;01/02/2020;124961;834;201;896;26;19;475
34;COMPETITIVO;691757;01/02/2020;98014;625;124;647;21;18;204
35;COMPETITIVO;1053346;01/02/2020;3027;29;1;21;0;1;9
36;COMPETITIVO;399893;01/02/2020;32927;201;46;211;7;5;66
37;COMPETITIVO;118964;01/02/2020;173069;1158;250;1210;33;27;470
38;COMPETITIVO;15100;01/02/2020;52824;251;49;195;7;4;83
39;COMPETITIVO;24218;01/02/2020;5227;41;10;50;0;2;16
40;COMPETITIVO;929654;01/02/2020;33872;213;36;222;7;6;82
41;COMPETITIVO;725562;01/02/2020;39886;252;67;276;11;6;68
42;COMPETITIVO;1126728;01/02/2020;4512;10;7;30;0;2;3
43;COMPETITIVO;1194614;01/02/2020;25095;149;42;164;8;3;42
44;COMPETITIVO;37264;01/02/2020;5959;37;13;48;2;0;17
45;COMPETITIVO;553616;01/02/2020;55193;426;82;428;5;15;189
46;COMPETITIVO;752878;01/02/2020;127559;881;174;893;15;29;392
47;COMPETITIVO;247516;01/02/2020;7250;47;9;43;2;0;20
48;COMPETITIVO;86315;01/02/2020;78862;523;94;492;16;13;154
49;COMPETITIVO;683818;01/02/2020;4444;14;9;34;1;1;6
50;COMPETITIVO;602897;01/02/2020;153771;1082;279;1259;23;35;478
51;COMPETITIVO;73515;01/02/2020;19900;116;28;155;2;6;39
52;COMPETITIVO;387499;01/02/2020;10658;49;11;78;4;1;16
53;COMPETITIVO;957742;01/02/2020;21125;160;55;181;8;2;53
54;COMPETITIVO;254632;01/02/2020;51684;386;90;332;9;11;168
55;COMPETITIVO;423905;01/02/2020;167905;1052;258;1172;34;26;506
56;COMPETITIVO;1076473;01/02/2020;5816;33;6;44;1;1;12
57;COMPETITIVO;859155;01/02/2020;62048;460;95;468;11;13;215
58;COMPETITIVO;788326;01/02/2020;195956;1598;313;1412;33;38;863
59;COMPETITIVO;322731;01/02/2020;58740;455;110;405;12;10;215
60;COMPETITIVO;818839;01/02/2020;22789;166;38;189;3;6;63
61;COMPETITIVO;832857;01/02/2020;8834;44;14;65;1;2;13
62;COMPETITIVO;808747;01/02/2020;367982;2732;462;2588;47;89;988
63;COMPETITIVO;429762;01/02/2020;44113;348;83;355;9;7;170
64;COMPETITIVO;92926;01/02/2020;320993;2531;583;2533;57;68;1183
65;COMPETITIVO;373710;01/02/2020;2094;19;3;18;0;1;11
66;COMPETITIVO;493906;01/02/2020;162094;1172;273;1246;34;30;491
67;COMPETITIVO;233585;01/02/2020;2569;9;3;22;0;1;8
