player_id;cadastrado_em_dia;cadastrado_em_hora
354985;22/03/2017;23:26:45
152268;17/08/2016;00:53:55
679247;28/02/2018;23:27:44
604607;10/01/2018;23:17:56
325203;22/02/2017;13:04:37
95479;26/04/2016;13:47:23
35792;08/12/2015;22:25:18
679130;28/02/2018;22:06:10
1129344;06/08/2019;20:58:10
850067;21/10/2018;11:38:51
321178;18/02/2017;21:35:51
79214;27/03/2016;13:00:01
364740;01/04/2017;21:58:40
723404;16/04/2018;13:03:42
862930;12/11/2018;13:44:38
1086226;19/06/2019;21:01:54
641988;02/02/2018;15:17:34
681743;03/03/2018;00:49:28
152301;17/08/2016;01:02:02
734021;01/05/2018;18:57:38
340916;08/03/2017;14:53:56
1189027;08/10/2019;19:42:54
1240338;18/12/2019;20:21:22
322891;20/02/2017;11:22:26
900185;18/12/2018;19:06:08
1105202;11/07/2019;23:19:32
81492;01/04/2016;01:50:26
734543;02/05/2018;17:35:24
29983;04/11/2015;19:53:13
697072;17/03/2018;00:39:19
806434;14/08/2018;19:21:35
876879;01/12/2018;09:22:35
951356;24/01/2019;01:24:42
691757;11/03/2018;15:42:48
1053346;03/05/2019;23:30:11
399893;14/05/2017;14:01:15
118964;27/06/2016;18:26:45
15100;25/03/2015;15:22:00
24218;03/10/2015;14:08:12
929654;09/01/2019;23:44:56
725562;19/04/2018;20:50:07
1126728;03/08/2019;22:23:03
1194614;15/10/2019;02:26:05
37264;14/12/2015;16:29:49
553616;22/11/2017;20:12:42
752878;31/05/2018;02:30:33
247516;06/12/2016;04:34:32
86315;09/04/2016;14:38:28
683818;04/03/2018;16:01:29
602897;10/01/2018;01:55:01
73515;10/03/2016;12:29:44
387499;28/04/2017;14:48:39
957742;29/01/2019;02:10:20
254632;14/12/2016;02:58:38
423905;21/06/2017;19:41:31
1076473;06/06/2019;23:17:14
859155;05/11/2018;14:59:17
788326;21/07/2018;23:40:33
322731;20/02/2017;00:20:17
818839;02/09/2018;08:54:44
832857;23/09/2018;03:51:20
808747;18/08/2018;15:43:23
429762;28/06/2017;22:56:58
92926;22/04/2016;12:00:37
373710;12/04/2017;08:28:18
493906;12/09/2017;07:06:16
233585;20/11/2016;01:39:07
788267;21/07/2018;22:36:39
646250;05/02/2018;09:22:49
47030;08/01/2016;11:34:00
1231420;07/12/2019;13:16:11
1218315;16/11/2019;05:50:02
1101201;06/07/2019;19:13:47
730548;27/04/2018;11:47:26
1273136;25/01/2020;21:23:23
565283;06/12/2017;23:35:46
55441;24/01/2016;23:37:14
1169102;16/09/2019;21:54:20
380580;20/04/2017;16:24:55
1009267;18/03/2019;18:02:41
113087;11/06/2016;19:53:51
872724;25/11/2018;12:04:21
561900;03/12/2017;01:43:53
533302;29/10/2017;19:00:37
55345;24/01/2016;18:13:35
141659;06/08/2016;04:04:15
182276;07/09/2016;16:23:11
1243965;23/12/2019;16:18:34
798406;03/08/2018;11:13:33
715541;06/04/2018;00:01:18
853;16/09/2013;12:21:01
1053687;04/05/2019;12:56:31
339996;07/03/2017;15:27:20
1151290;29/08/2019;22:06:32
744522;19/05/2018;12:38:32
888219;11/12/2018;01:31:54
1234826;12/12/2019;00:35:48
217107;30/10/2016;04:36:58
531259;27/10/2017;19:23:52
45032;04/01/2016;23:07:45
730270;26/04/2018;21:15:47
44961;04/01/2016;21:50:29
79275;27/03/2016;16:40:33
1244042;23/12/2019;17:35:45
926173;07/01/2019;17:39:33
325922;22/02/2017;23:26:35
373419;11/04/2017;20:30:39
878728;03/12/2018;19:23:48
483789;31/08/2017;09:50:37
455251;27/07/2017;13:19:14
1220687;20/11/2019;00:57:38
44412;03/01/2016;18:35:57
1112340;19/07/2019;21:54:30
224549;09/11/2016;06:47:01
521503;15/10/2017;18:06:49
163286;20/08/2016;14:30:06
66284;25/02/2016;13:30:58
25828;10/10/2015;13:47:23
500034;19/09/2017;21:39:38
852294;25/10/2018;15:29:07
1080859;12/06/2019;23:08:25
771745;30/06/2018;12:08:50
652604;10/02/2018;14:32:23
800063;05/08/2018;11:31:16
9669;27/01/2015;02:28:40
957972;29/01/2019;12:37:40
1258713;10/01/2020;13:26:34
107982;29/05/2016;03:01:20
636393;29/01/2018;23:29:47
1009083;18/03/2019;14:08:00
25509;09/10/2015;18:44:28
640578;01/02/2018;16:37:14
722878;15/04/2018;17:28:01
880225;05/12/2018;20:20:56
560871;02/12/2017;01:28:13
563035;04/12/2017;14:12:33
569053;11/12/2017;13:32:12
561265;02/12/2017;15:56:01
531046;27/10/2017;15:36:08
75174;14/03/2016;13:23:28
712807;02/04/2018;12:41:21
474605;19/08/2017;21:25:29
1249330;30/12/2019;17:10:32
609378;13/01/2018;19:23:40
748742;25/05/2018;19:59:55
623666;22/01/2018;00:05:08
729987;26/04/2018;13:45:22
636583;30/01/2018;01:06:38
1106686;13/07/2019;19:22:55
1205943;31/10/2019;21:46:16
144815;09/08/2016;20:12:39
675651;26/02/2018;10:59:49
124756;11/07/2016;02:59:21
535335;31/10/2017;22:59:40
499714;19/09/2017;15:31:18
1020640;30/03/2019;16:18:15
16502;13/06/2015;16:23:51
775069;04/07/2018;18:48:00
962160;01/02/2019;21:20:20
115200;17/06/2016;11:08:25
328723;25/02/2017;19:12:12
260115;21/12/2016;09:09:38
410076;29/05/2017;20:16:43
68725;28/02/2016;23:01:42
100725;09/05/2016;19:03:04
119182;28/06/2016;01:02:26
333042;01/03/2017;14:25:01
118743;26/06/2016;22:16:21
399914;14/05/2017;14:41:37
395986;08/05/2017;22:56:55
1160019;07/09/2019;13:29:36
775835;05/07/2018;15:55:27
1025052;04/04/2019;03:16:35
623959;22/01/2018;08:05:08
1075887;05/06/2019;23:39:20
133299;25/07/2016;20:35:27
270593;02/01/2017;01:16:24
10878;04/03/2015;21:02:40
11993;05/03/2015;18:01:17
1121313;29/07/2019;13:32:36
1256002;07/01/2020;11:12:58
322787;20/02/2017;02:29:59
454024;25/07/2017;23:48:49
1224429;26/11/2019;20:24:47
677108;27/02/2018;13:25:54
1272137;24/01/2020;20:38:51
16230;28/05/2015;23:07:55
29601;02/11/2015;23:45:32
58776;02/02/2016;18:14:35
786387;19/07/2018;17:55:58
1063212;18/05/2019;15:25:34
402815;18/05/2017;20:44:43
698278;17/03/2018;22:31:29
711255;31/03/2018;16:31:39
670535;22/02/2018;21:29:13
811364;22/08/2018;13:57:19
506212;26/09/2017;22:22:55
59771;04/02/2016;16:27:41
809773;19/08/2018;21:11:14
1230745;06/12/2019;15:34:39
